ID,TEMPORADA,NOM_INCEN,CAUSA,SUPERFICIE,CODREG,CODPROV,CODCOM,REGION,COMUNA,PROVINCIA,FECHA_INI,FECHA_TER,SHAPE_Leng,SHAPE_Area
1,2016-2017,320_LAS MAQUINAS,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),159812.58,07,072,07201,Región del Maule,Cauquenes,Cauquenes,"""2017-01-20T00:00:00.000Z""","""2017-05-24T00:00:00.000Z""",550499.944572,1921576351.37
2,2016-2017,120_LOS MAITENES,1.10.5. Soldadura y montaje de estructuras varias (torres de alta tensión  oleoductos  etc.),650,13,135,13501,Región Metropolitana de Santiago,Melipilla,Melipilla,"""2016-11-27T00:00:00.000Z""","""2016-12-01T00:00:00.000Z""",17362.1853987,5004181.09934
3,2016-2017,126_MADRE DEL AGUA,1.7.1. Uso de fuego por transeúntes,520,05,055,05506,Región de Valparaíso,Nogales,Quillota,"""2016-11-03T00:00:00.000Z""","""2016-11-08T00:00:00.000Z""",17051.1835375,5209676.56432
4,2016-2017,136_MATANCILLA 2,1.2.2. Quema ilegal de desechos agrícolas,700,06,062,06203,Región del Libertador General Bernardo O'Higgins,Litueche,Cardenal Caro,"""2017-01-04T00:00:00.000Z""","""2017-01-07T00:00:00.000Z""",19133.4656985,7003836.83119
5,2016-2017,138_PUPILLA-LOS CRUCEROS,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),3000,07,071,07103,Región del Maule,Curepto,Talca,"""2016-12-13T00:00:00.000Z""","""2016-12-20T00:00:00.000Z""",38546.2142189,30029807.9938
6,2016-2017,139_URACO-SAN CARLOS,1.9.1. Corte de cable eléctrico por caída de rama (excepto por faena forestal),950,07,073,07309,Región del Maule,Vichuquén,Curicó,"""2016-12-13T00:00:00.000Z""","""2016-12-20T00:00:00.000Z""",19864.5123688,9506422.64052
7,2016-2017,142_CURA CURA,1.7.1. Uso de fuego por transeúntes,1100,07,074,07405,Región del Maule,Retiro,Linares,"""2016-12-14T00:00:00.000Z""","""2016-12-16T00:00:00.000Z""",23945.4382838,11166344.5811
41,2016-2017,319_CERRO MAULE,2.1.11. Otros intencionales no clasificados,3786.84,07,071,07105,Región del Maule,Maule,Talca,"""2017-01-20T00:00:00.000Z""","""2017-02-03T00:00:00.000Z""",226320.160495,37989691.9918
8,2016-2017,142_LAS TORCAZAS,1.9.4. Corte de cable por otro accidente o acción no clasificada,550,06,061,06110,Región del Libertador General Bernardo O'Higgins,Mostazal,Cachapoal,"""2017-01-09T00:00:00.000Z""","""2017-01-11T00:00:00.000Z""",11131.4794655,5496627.88713
9,2016-2017,145_HUEDQUE-SAN JUAN DE LA RAYA,1.7.1. Uso de fuego por transeúntes,940,07,072,07201,Región del Maule,Cauquenes,Cauquenes,"""2016-12-14T00:00:00.000Z""","""2016-12-17T00:00:00.000Z""",14856.0830475,9418158.12624
10,2016-2017,147_LAS CARDILLAS VI,1.10.6. Otras actividades no clasificados (cocción de ladrillo),5923,07,073,07302,Región del Maule,Hualañé,Curicó,"""2017-01-23T00:00:00.000Z""","""2017-02-01T00:00:00.000Z""",80944.5899397,59237336.1309
23,2016-2017,185_LO VARGAS,1.7.1. Uso de fuego por transeúntes,550,13,133,13302,Región Metropolitana de Santiago,Lampa,Chacabuco,"""2016-12-21T00:00:00.000Z""","""2016-12-22T00:00:00.000Z""",9988.17903959,5493776.5349
42,2016-2017,321_SANTA CRUZ,2.1.11. Otros intencionales no clasificados,11579.88,07,072,07201,Región del Maule,Cauquenes,Cauquenes,"""2017-01-20T00:00:00.000Z""","""2017-02-08T00:00:00.000Z""",941097.442798,116460416.657
43,2016-2017,324_AQUELARRE,2.1.11. Otros intencionales no clasificado,7068.32,07,073,07309,Región del Maule,Vichuquén,Curicó,"""2017-01-21T00:00:00.000Z""","""2017-02-08T00:00:00.000Z""",355009.859846,70740955.9082
44,2016-2017,337_LLEPO,2.1.11. Otros intencionales no clasificados,2499.31,07,074,07401,Región del Maule,Linares,Linares,"""2017-01-25T00:00:00.000Z""","""2017-02-08T00:00:00.000Z""",40266.2338809,28393676.3876
11,2016-2017,155_MANANTIALES,1.10.5. Soldadura y montaje de estructuras varias (torres de alta tensión  oleoductos  etc.),650,13,135,13501,Región Metropolitana de Santiago,Melipilla,Melipilla,"""2016-12-13T00:00:00.000Z""","""2016-12-16T00:00:00.000Z""",15373.2400617,6496196.57151
12,2016-2017,158_CEMENTERIO,1.2.6. Corte de cable eléctrico producto de faena agrícolas,1049.87,13,135,13505,Región Metropolitana de Santiago,San Pedro,Melipilla,"""2016-12-13T00:00:00.000Z""","""2016-12-16T00:00:00.000Z""",29900.6508846,10795461.16
14,2016-2017,161_RINCON DE YAQUIL 2,1.7.1. Uso de fuego por transeúntes,8169,06,063,06306,Región del Libertador General Bernardo O'Higgins,Palmilla,Colchagua,"""2017-01-14T00:00:00.000Z""","""2017-01-21T00:00:00.000Z""",76032.6179217,81693820.7029
15,2016-2017,168_NILAHUE BARAHONA,1.9.3. Corte de cable por caída de tendido eléctrico o postación,46490,06,062,06202,Región del Libertador General Bernardo O'Higgins,La Estrella,Cardenal Caro,"""2017-01-17T00:00:00.000Z""","""2017-01-28T00:00:00.000Z""",267851.73076,465317954.98
45,2016-2017,338_TABUNCO-EL AGUILA CONVENIO,1.9.3. Corte de cable por caída de tendido eléctrico o postación,3807.62,07,071,07103,Región del Maule,Curepto,Talca,"""2017-01-25T00:00:00.000Z""","""2017-02-08T00:00:00.000Z""",192933.748828,38086927.8783
46,2016-2017,381_VALLE HERMOSO - RUTA F-90,1.7.1. Uso de fuego por transeúntes,2200,05,051,05102,Región de Valparaíso,Casablanca,Valparaíso,"""2016-12-13T00:00:00.000Z""","""2016-12-23T00:00:00.000Z""",55627.9900968,21928431.1286
92,2016-2017,37_TIL TIL,1.7.1. Uso de fuego por transeúntes,327.5,13,133,13303,Región Metropolitana de Santiago,Tiltil,Chacabuco,"""2016-10-26T00:00:00.000Z""","""2016-10-27T00:00:00.000Z""",838.654418011,15012.2347214
13,2016-2017,158_LAS CHACRAS,1.7.1. Uso de fuego por transeúntes,833,06,062,06202,Región del Libertador General Bernardo O'Higgins,La Estrella,Cardenal Caro,"""2017-01-14T00:00:00.000Z""","""2017-01-16T00:00:00.000Z""",26447.3197432,9091326.03306
48,2016-2017,386_SAN ANTONIO,2.1.11. Otros intencionales no clasificados,672,07,072,07201,Región del Maule,Cauquenes,Cauquenes,"""2017-02-22T00:00:00.000Z""","""2017-02-27T00:00:00.000Z""",15931.5195953,6781858.10263
16,2016-2017,169_RARIN,1.7.1. Uso de fuego por transeúntes,1649,06,062,06206,Región del Libertador General Bernardo O'Higgins,Paredones,Cardenal Caro,"""2017-01-17T00:00:00.000Z""","""2017-01-21T00:00:00.000Z""",19563.6910759,16498358.1907
18,2016-2017,174_LA PATAGUA,2.1.11. Otros intencionales no clasificados,2236,06,063,06302,Región del Libertador General Bernardo O'Higgins,Chépica,Colchagua,"""2017-01-20T00:00:00.000Z""","""2017-01-27T00:00:00.000Z""",33542.9708764,22458311.7188
19,2016-2017,175_EL AVELLANO,2.1.11. Otros intencionales no clasificados,582.8,09,092,09210,Región de La Araucanía,Traiguén,Malleco,"""2017-01-26T00:00:00.000Z""","""2017-02-01T00:00:00.000Z""",13866.6739877,5839388.78243
17,2016-2017,170_EL PEDIGADERO,1.9.3. Corte de cable por caída de tendido eléctrico o postación,126840,07,073,07302,Región del Maule,Hualañé,Curicó,"""2017-01-18T00:00:00.000Z""","""2017-01-27T00:00:00.000Z""",88257.0305635,126843923.057
20,2016-2017,176_COINCO,1.7.1. Uso de fuego por transeúntes,647,06,061,06103,Región del Libertador General Bernardo O'Higgins,Coinco,Cachapoal,"""2017-01-20T00:00:00.000Z""","""2017-01-23T00:00:00.000Z""",12594.2821291,6473764.83201
56,2016-2017,460_SELVA NEGRA-ALHUELEMU,1.7.1. Uso de fuego por transeúntes,2400.6,08,083,08305,Región del Biobío,Mulchén,Biobío,"""2017-01-21T00:00:00.000Z""","""2017-02-04T00:00:00.000Z""",41641.7977487,24036607.5496
57,2016-2017,482_BUCALEMU,1.7.1. Uso de fuego por transeúntes,5000,05,056,05606,Región de Valparaíso,Santo Domingo,San Antonio,"""2017-01-01T00:00:00.000Z""","""2017-01-13T00:00:00.000Z""",142944.222207,50036345.6532
21,2016-2017,176_QUILAMUTA,1.7.1. Uso de fuego por transeúntes,550,13,135,13505,Región Metropolitana de Santiago,San Pedro,Melipilla,"""2016-12-19T00:00:00.000Z""","""2016-12-21T00:00:00.000Z""",11750.3764166,5503855.57112
22,2016-2017,184_TUMAN NAVIA,1.9.3. Corte de cable por caída de tendido eléctrico o postación,2539,06,062,06205,Región del Libertador General Bernardo O'Higgins,Navidad,Cardenal Caro,"""2017-01-30T00:00:00.000Z""","""2017-02-05T00:00:00.000Z""",26687.460022,25394945.3409
58,2016-2017,494_SAN CARLITOS,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),3625.8,08,084,08404,Región del Biobío,Coelemu,Ñuble,"""2017-01-25T00:00:00.000Z""","""2017-02-05T00:00:00.000Z""",83040.9070066,36329621.6831
