TEMPORADA,NOM_INCEN,FECHA_INI,SUPERFICIE,PROVINCIA,COMUNA,NUMERO_REG,CAUSA,REGION,CODCOM,CODPROV,CODREG,FECHA_TER
2022-2023,LOS LAURELES II,2-feb-2023 15:31,224.215367,Arauco,Arauco,794,1.10.6. Otras actividades no clasificados (coccion de ladrillo),Biobío,8202,82,8,1-mar-2023 10:55
2022-2023,SANTA ANA,2-feb-2023 17:21,69080.512499,Biobio,Nacimiento,801,1.9.4. Corte de cable por otro accidente o accion no clasificada,Biobío,8306,83,8,6-abr-2023 18:44
2022-2023,EL MIRADOR,2-feb-2023 17:52,3445.287214,Concepcion,Tom__,799,2.1.11. Otros intencionales no clasificados,Biobío,8111,81,8,6-abr-2023 18:45
2022-2023,PUREMA VIII REGION,3-feb-2023 11:36,1248.868286,Concepcion,Tom__,807,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),Biobío,8111,81,8,6-abr-2023 18:46
2022-2023,LAS TOSCAS VIII REGION,2-feb-2023 14:11,4042.903281,Biobio,Yumbel,791,1.9.4. Corte de cable por otro accidente o accion no clasificada,Biobío,8313,83,8,6-abr-2023 11:49
2022-2023,NW CRUCE CABRERO,3-feb-2023 16:04,274.830111,Biobio,Cabrero,811,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),Biobío,8303,83,8,6-abr-2023 11:52
2022-2023,CERRO PARRA,6-feb-2023 13:16,980.941024,Biobio,Yumbel,828,2.1.11. Otros intencionales no clasificados,Biobío,8313,83,8,6-abr-2023 11:54
2022-2023,LOS CHENQUES II,12-feb-2023 12:00,430.770459,Biobio,Alto Biobio,842,2.1.11. Otros intencionales no clasificados,Biobío,8314,83,8,19-abr-2023 14:57
2022-2023,SAN RAFAEL,18-feb-2023 17:11,458.508737,Concepcion,Hualqui,855,2.1.11. Otros intencionales no clasificados,Biobío,8105,81,8,6-abr-2023 11:55
2022-2023,QUILQUIHUENCO VIII REGION (EX-LAS MAICAS),7-feb-2023 15:56,1154.328411,Biobio,Mulchen,829,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),Biobío,8305,83,8,6-abr-2023 11:54
2022-2023,HUIDE,2-feb-2023 14:32,2701.310463,Arauco,Contulmo,796,2.1.11. Otros intencionales no clasificados,Biobío,8204,82,8,1-mar-2023 10:52
2022-2023,LOS CUARTOS LOS CRISTALES,4-feb-2023 14:58,1176.60051,Biobio,Los Angeles,826,2.1.11. Otros intencionales no clasificados,Biobío,8301,83,8,6-abr-2023 11:53
2022-2023,CALIBORO,19-feb-2023 23:41,729.186509,Biobio,Los Angeles,858,2.1.11. Otros intencionales no clasificados,Biobío,8301,83,8,6-abr-2023 11:55
2022-2023,OMERHUET,2-feb-2023 23:56,2625.277807,Concepcion,Hualqui,802,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),Biobío,8105,81,8,6-abr-2023 11:50
2022-2023,QUILLOTA VIII REGION (EX-TAMBILLO),3-feb-2023 13:06,26881.082526,Biobio,Nacimiento,814,1.10.5. Soldadura y montaje de estructuras varias (torres de alta tension  oleoductos  etc.),Biobío,8306,83,8,6-abr-2023 18:46
2022-2023,LAS CACHAÑAS EL PARRON,3-feb-2023 12:26,5767.499573,Biobio,Mulchen,806,2.1.11. Otros intencionales no clasificados,Biobío,8305,83,8,6-abr-2023 11:50
2022-2023,LAS ACACIAS,2-feb-2023 21:53,3123.686464,Biobio,Mulchen,816,4.1.2. No determinada (la causa no es investigada),Biobío,8305,83,8,6-abr-2023 11:49
2022-2023,MAPULHUE VIII REGION,3-feb-2023 11:47,1381.166057,Biobio,Mulchen,1034,2.1.3. Atentado incendiario por conflicto,Biobío,8305,83,8,14-feb-2023 09:46
2022-2023,SAN JOSE GRANDE,29-dic-2022 17:49,4982.814153,Biobio,Nacimiento,398,1.9.4. Corte de cable por otro accidente o accion no clasificada,Biobío,8306,83,8,12-mar-2023 21:00
