id,temporada,region,provincia,comuna,codreg,codprov,codcom,nom_incen,causa,superficie,fecha_ini,fecha_ter
43,2021-2022,Los Lagos,Osorno,Osorno,10,103,10301,238-PUCOIHUE,1.2.5. Chispa de maquinaria en faena agrícolas,275.429,"""2022-02-10T00:00:00.000Z""","""2022-03-15T00:00:00.000Z"""
44,2021-2022,Aysen,Capitán Prat,Cochrane,11,113,11301,1-EL ÑANDU,1.6.3. Incendio estructural (campamento forestal  casa habitación u otras edificaciones),1729.33,"""2021-07-02T00:00:00.000Z""","""2021-07-07T00:00:00.000Z"""
45,2021-2022,Magallanes,Tierra del Fuego,Timaukel,12,123,12303,13-FORESTAL RUSSFIN,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),1061.961,"""2022-01-25T00:00:00.000Z""","""2022-03-15T00:00:00.000Z"""
46,2021-2022,Metropolitana,Maipo,Paine,13,134,13404,72-AGUILA SUR,1.7.1. Uso de fuego por transeúntes,211.732,"""2021-10-30T00:00:00.000Z""","""2021-11-05T00:00:00.000Z"""
47,2021-2022,Metropolitana,Chacabuco,Tiltil,13,133,13303,28-CALEU,1.9.4. Corte de cable por otro accidente o acción no clasificada,321.122,"""2021-09-29T00:00:00.000Z""","""2021-10-02T00:00:00.000Z"""
48,2021-2022,Ñuble,Itata,Portezuelo,16,162,16205,243-RINCOMAVIDA,1.6.3. Incendio estructural (campamento forestal  casa habitación u otras edificaciones),780.551,"""2022-02-12T00:00:00.000Z""","""2022-02-17T00:00:00.000Z"""
49,2021-2022,Ñuble,Diguillín,Yungay,16,161,16109,293-NIPILCO 5,"1.3.3. Uso de fuego en faena de extracción y/o confección de leña no industrial
",208.942,"""2022-02-28T00:00:00.000Z""","""2022-03-03T00:00:00.000Z"""
50,2021-2022,Ñuble,Diguillín,Chillán,16,161,16101,340-SANTA CRUZ DE CUCA 3,1.7.1. Uso de fuego por transeúntes,220.431,"""2022-03-14T00:00:00.000Z""","""2022-03-16T00:00:00.000Z"""
51,2021-2022,Ñuble,Diguillín,Chillán Vielo,16,161,16103,131-SANTA JUANA DE LARQUI,1.10.5. Soldadura y montaje de estructuras varias (torres de alta tensión  oleoductos  etc.),247.079,"""2022-01-10T00:00:00.000Z""","""2022-01-15T00:00:00.000Z"""
52,2021-2022,La Araucania,Malleco,Victoria,09,092,09211,685-CULLINCO,"2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario)
",413.157,"""2022-02-12T00:00:00.000Z""","""2022-02-16T00:00:00.000Z"""
53,2021-2022,La Araucania,Cautín,Galvarino,09,091,09106,725-SANTA ELENA 3 (P),2.1.2. Conflicto entre personas (venganza  conflictos familiares y  pasionales  otros),407.428,"""2022-02-16T00:00:00.000Z""","""2022-02-24T00:00:00.000Z"""
54,2021-2022,O'Higgins,Cachapoal,Requínoa,06,061,06116,109-CARRETERA DEL ÁCIDO KM 17,1.10.4. Hábito de fumar,977.543,"""2021-12-24T00:00:00.000Z""","""2021-12-29T00:00:00.000Z"""
55,2021-2022,O'Higgins,Valdivia,Paillaco,14,141,14107,93-LAS LOMAS,1.9.4. Corte de cable por otro accidente o acción no clasificada,219.379,"""2022-02-22T00:00:00.000Z""","""2022-03-04T00:00:00.000Z"""
56,2021-2022,Biobio,Biobio,Mulchén,08,081,08305,1134-NIHUINCO II,2.1.11. Otros intencionales no clasificados,645.631,"""2022-02-11T00:00:00.000Z""","""2022-03-10T00:00:00.000Z"""
57,2021-2022,Biobio,Biobio,Mulchén,08,081,08305,1210-ESPERANZA DE MALVEN II,1.2.5. Chispa de maquinaria en faena agrícolas,1100.994,"""2022-02-17T00:00:00.000Z""","""2022-03-10T00:00:00.000Z"""
58,2021-2022,Maule,Cauquenes,Cauquenes,07,072,07201,1108-CURIMAQUI 2,1.8.1. Quema de basuras  desechos vegetales u otros no clasificados (distintos de vertederos o basurales autorizados),515.15,"""2022-02-08T00:00:00.000Z""","""2022-02-13T00:00:00.000Z"""
59,2021-2022,La Araucania,Malleco,Traiguén,09,092,09210,693-TEMULEMU,4.1.2. No determinada (la causa no es investigada),350.23,"""2022-02-13T00:00:00.000Z""","""2022-02-23T00:00:00.000Z"""
60,2021-2022,Ñuble,Diguillín,Pemuco,16,161,16105,291-SAN LUIS,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),1957.064,"""2022-02-28T00:00:00.000Z""","""2022-03-14T00:00:00.000Z"""
61,2021-2022,Biobio,Biobio,Yumbel,08,081,08313,1663-RIO CLARO,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),4365.784,"""2022-03-10T00:00:00.000Z""","""2022-04-08T00:00:00.000Z"""
62,2021-2022,Ñuble,Diguillín,Quillón,16,161,16107,92-EL ROSARIO,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),2275.753,"""2021-12-24T00:00:00.000Z""","""2022-01-15T00:00:00.000Z"""
