ID,TEMPORADA,NOM_INCEN,CAUSA,SUPERFICIE,CODREG,CODPROV,CODCOM,REGION,COMUNA,PROVINCIA,FECHA_INI,FECHA_TER,SHAPE_Leng,SHAPE_Area
1,2020-2021,224 - HACIENDA LAS PALMAS 2,2.1.11. Otros intencionales no clasificados,447.58,05,058,05801,R.Valparaiso,Quilpu.,Margamarga,"""2021-01-15T00:00:00.000Z""","""2021-01-17T00:00:00.000Z""",39319.8971319,4475808.55583
2,2020-2021,221 - LA ENGORDA R.N.L.P,2.1.11. Otros intencionales no clasificados,3403.06,05,051,05101,R.Valparaiso,Valpara so,Valpara so,"""2021-01-14T00:00:00.000Z""","""2021-01-23T00:00:00.000Z""",192220.559387,34030585.2924
3,2020-2021,625 - LAS PALMAS GRANDES,1.2.5. Chispa de maquinaria en faena agrdcolas,209.77,16,163,16305,R.nuble,San Nicolis,Punilla,"""2020-12-28T00:00:00.000Z""","""2020-12-30T00:00:00.000Z""",13720.0308509,2097747.9385
4,2020-2021,963 - LA GREDA,1.2.5. Chispa de maquinaria en faena agrdcolas,202.89,16,161,16109,R.guble,Yungay,DiguillCn,"""2021-01-16T00:00:00.000Z""","""2021-01-17T00:00:00.000Z""",8778.04998191,2028900.78084
5,2020-2021,149 - EL PORTILLO,1.9.1. Corte de cable elrctrico por cagda de rama (excepto por faena forestal),1017.37,06,063,06301,R.O'Higgins,San Fernando,Colchagua,"""2021-01-27T00:00:00.000Z""","""2021-02-01T00:00:00.000Z""",68705.1051669,10173735.8974
6,2020-2021,236 - LA QUEBRADA,1.1.19. Chispa  maquinaria en faena forestal (skidder  tractor  vehaculo liviano y pesado),559.75,07,073,07307,R.Maule,Sagrada Familia,Curico,"""2020-11-25T00:00:00.000Z""","""2020-11-29T00:00:00.000Z""",43122.4004221,5597450.66782
7,2020-2021,1009 - MEMBRILLAR,1.10.6. Otras actividades no clasificados (cocciin de ladrillo),679.98,08,083,08306,R.Biobio,Nacimiento,Biobmo,"""2021-01-18T00:00:00.000Z""","""2021-01-29T00:00:00.000Z""",28039.6798374,6799758.78819
8,2020-2021,1003 - CULLINCO ALTO,2.1.2. Conflicto entre personas (venganza  conflictos familiares y  pasionales  otros),239.1,09,091,09121,R.La Araucania,Cholchol,Cautcn,"""2021-01-21T00:00:00.000Z""","""2021-01-25T00:00:00.000Z""",23386.5918498,2391016.65192
9,2020-2021,20 - REGIMIENTO LANCEROS,1.10.1. Maniobras militares,297.87,12,124,12401,R.Magallanes,Natales,Nltima Esperanza,"""2021-03-25T00:00:00.000Z""","""2021-04-26T00:00:00.000Z""",14219.46749,2978674.0579
10,2020-2021,292 - FUNDO MONTERREY,1.4.1. Uso de fuego para actividades recreativas en sreas no habilitadas,483.71,13,135,13503,R.Metropolitana,Curacavi,Melipilla,"""2021-02-28T00:00:00.000Z""","""2021-03-03T00:00:00.000Z""",24131.5063594,4837069.05366
11,2020-2021,112 - RESERVA aUBLE,1.1.10. Quema ilegal para reduccidn de combustible (silvicultura preventiva),241.14,16,161,16106,R.guble,Pinto,Diguill n,"""2020-11-03T00:00:00.000Z""","""2020-11-24T00:00:00.000Z""",21480.1420268,2411391.09939
12,2020-2021,151 - LA FRAGUA,2.1.11. Otros intencionales no clasificados,348.66,05,058,05801,R.Valparaiso,Quilpu.,Margamarga,"""2020-12-15T00:00:00.000Z""","""2020-12-23T00:00:00.000Z""",23675.1972468,3486628.07057
13,2020-2021,1092 - NILPE 8,2.1.11. Otros intencionales no clasificados,262.98,09,091,09106,R.La Araucansa,Galvarino,Cautan,"""2021-02-04T00:00:00.000Z""","""2021-02-10T00:00:00.000Z""",15292.8210645,2629803.3224
14,2020-2021,809 - PANGUECO 4,2.1.11. Otros intencionales no clasificados,472.19,09,092,09208,R.La Araucansa,Pur0n,Malleco,"""2021-01-08T00:00:00.000Z""","""2021-01-21T00:00:00.000Z""",28722.8173104,4721926.77149
15,2020-2021,858 - LIMPEO,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),294.7,09,092,09202,R.La Araucanla,Collipulli,Malleco,"""2021-01-18T00:00:00.000Z""","""2021-01-29T00:00:00.000Z""",22864.6496566,2946976.78036
16,2020-2021,1013 - CHUFQUEN (COLPI),2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),311.43,09,091,09106,R.La Araucanla,Galvarino,Cautan,"""2021-01-22T00:00:00.000Z""","""2021-01-29T00:00:00.000Z""",26874.4182943,3114307.10822
17,2020-2021,1327 - COLONIA SUIZA 3,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),594.42,09,091,09106,R.La Araucanla,Galvarino,Cautan,"""2021-03-18T00:00:00.000Z""","""2021-03-29T00:00:00.000Z""",31040.98006,5944174.26546
18,2020-2021,1073 - FUNDO MARILUAN,4.1.2. No determinada (la causa no es investigada),250.6,09,092,09202,R.La Araucanta,Collipulli,Malleco,"""2021-02-02T00:00:00.000Z""","""2021-02-03T00:00:00.000Z""",7759.56745884,2506045.12062
19,2020-2021,1201 - LOLENCO 2,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),203.88,09,092,09201,R.La Araucanna,Angol,Malleco,"""2021-02-25T00:00:00.000Z""","""2021-02-27T00:00:00.000Z""",13207.4586319,2038825.37261
20,2020-2021,1020 - CAMPO LINDO,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),442.19,09,092,09204,R.La Araucanla,Ercilla,Malleco,"""2021-01-23T00:00:00.000Z""","""2021-01-30T00:00:00.000Z""",15437.2266451,4421918.93246
